               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  51,            0.048654,           0.0049961,           0.0016298,             0.65828,             0.71076,             0.69697,             0.36667,            0.042679,            0.020984,           0.0019685,           0.0099508,           0.0099508,           0.0099508
                  52,            0.049631,           0.0050299,           0.0016609,             0.69865,             0.70232,             0.71869,             0.40024,            0.042361,            0.021137,           0.0019494,           0.0099488,           0.0099488,           0.0099488
                  53,             0.04913,           0.0050027,            0.002311,             0.70591,             0.70001,             0.72349,             0.41307,            0.042084,            0.021283,           0.0019018,           0.0099467,           0.0099467,           0.0099467
                  54,            0.048399,           0.0049061,            0.001784,             0.66826,             0.73238,             0.71632,             0.39982,            0.042262,            0.021093,           0.0018701,           0.0099447,           0.0099447,           0.0099447
                  55,            0.048125,           0.0049368,           0.0019031,             0.66314,             0.73343,             0.70212,             0.37517,            0.042229,            0.021121,           0.0018637,           0.0099426,           0.0099426,           0.0099426
                  56,            0.048363,           0.0047964,           0.0015996,             0.68254,             0.69716,             0.68736,             0.36419,            0.042032,            0.021098,           0.0018191,           0.0099404,           0.0099404,           0.0099404
                  57,            0.047231,           0.0048915,           0.0014516,              0.6984,             0.72351,             0.70992,             0.38027,            0.041717,            0.021003,           0.0018461,           0.0099383,           0.0099383,           0.0099383
                  58,            0.047144,           0.0049257,           0.0014334,              0.6884,             0.71281,             0.68827,             0.37231,            0.041644,            0.020928,           0.0019181,            0.009936,            0.009936,            0.009936
                  59,            0.048218,           0.0049326,           0.0016777,             0.66604,             0.71058,             0.68203,             0.35896,            0.041444,            0.021141,           0.0019804,           0.0099338,           0.0099338,           0.0099338
                  60,            0.046762,           0.0047765,           0.0014977,             0.63409,             0.74909,             0.68166,             0.35423,            0.041412,            0.021079,            0.001977,           0.0099315,           0.0099315,           0.0099315
                  61,            0.047721,           0.0048801,           0.0017619,             0.64752,             0.70879,             0.67682,             0.35131,            0.041433,            0.021034,           0.0019584,           0.0099291,           0.0099291,           0.0099291
                  62,            0.048374,           0.0049654,           0.0017595,             0.67531,             0.68485,             0.67449,             0.34905,            0.041512,             0.02111,           0.0019748,           0.0099268,           0.0099268,           0.0099268
                  63,            0.048234,           0.0049542,           0.0010942,              0.6527,             0.72248,             0.68852,             0.36956,             0.04134,            0.021088,           0.0019055,           0.0099244,           0.0099244,           0.0099244
                  64,            0.047064,           0.0049038,           0.0013243,             0.69387,             0.69388,             0.70226,              0.3823,            0.041148,            0.020941,           0.0019419,           0.0099219,           0.0099219,           0.0099219
                  65,            0.047621,           0.0051232,            0.001836,              0.7008,             0.71076,             0.72298,             0.40172,            0.041233,            0.020876,           0.0018907,           0.0099194,           0.0099194,           0.0099194
                  66,            0.048736,           0.0050283,           0.0018209,             0.76832,             0.64914,             0.72713,             0.40017,            0.041283,            0.020966,           0.0019026,           0.0099169,           0.0099169,           0.0099169
                  67,            0.047544,           0.0048455,           0.0018215,             0.72365,             0.67826,             0.72657,             0.40057,            0.041147,            0.020882,           0.0018734,           0.0099143,           0.0099143,           0.0099143
                  68,             0.04738,           0.0048218,           0.0012232,             0.68343,             0.72151,             0.72864,             0.40159,            0.040932,            0.020842,           0.0018718,           0.0099117,           0.0099117,           0.0099117
                  69,            0.047202,           0.0048558,           0.0015955,             0.70653,             0.71108,              0.7284,             0.39761,            0.040711,            0.020811,           0.0018722,           0.0099091,           0.0099091,           0.0099091
                  70,            0.046532,           0.0048155,           0.0012929,             0.71839,             0.69982,             0.72623,             0.39819,            0.040584,            0.020755,           0.0018433,           0.0099064,           0.0099064,           0.0099064
                  71,            0.046136,           0.0048937,           0.0017784,              0.6968,             0.71893,             0.72573,              0.3987,             0.04049,            0.020684,           0.0018436,           0.0099037,           0.0099037,           0.0099037
                  72,            0.047364,           0.0048734,             0.00146,             0.69521,             0.70357,             0.72536,             0.39794,            0.040333,            0.020632,           0.0018702,           0.0099009,           0.0099009,           0.0099009
                  73,            0.046157,           0.0048358,           0.0017498,             0.66956,             0.73481,             0.72625,             0.39925,             0.04025,            0.020585,           0.0018841,           0.0098981,           0.0098981,           0.0098981
                  74,            0.047312,             0.00496,           0.0013302,             0.71727,             0.68327,              0.7232,             0.39642,            0.040176,            0.020573,           0.0019035,           0.0098953,           0.0098953,           0.0098953
                  75,            0.047334,           0.0049995,            0.001423,             0.67246,             0.73449,             0.72221,             0.39579,            0.040158,             0.02051,            0.001894,           0.0098924,           0.0098924,           0.0098924
                  76,            0.046315,           0.0047813,           0.0015632,             0.67151,             0.73365,             0.72112,             0.39377,            0.040121,            0.020451,           0.0018872,           0.0098895,           0.0098895,           0.0098895
                  77,            0.046547,            0.004722,           0.0018258,             0.68245,             0.73687,             0.72595,             0.40225,            0.040094,            0.020418,           0.0018808,           0.0098865,           0.0098865,           0.0098865
                  78,            0.047412,           0.0048491,           0.0015262,             0.68405,             0.73066,             0.72786,             0.40265,            0.040103,            0.020444,           0.0018759,           0.0098835,           0.0098835,           0.0098835
                  79,            0.048472,           0.0051639,            0.001778,             0.70827,             0.71237,             0.72968,             0.40538,            0.040082,             0.02047,            0.001879,           0.0098805,           0.0098805,           0.0098805
                  80,            0.046983,           0.0050096,           0.0012763,             0.71644,             0.70876,             0.72972,             0.40557,             0.04008,            0.020477,           0.0018741,           0.0098774,           0.0098774,           0.0098774
                  81,            0.046479,           0.0047863,           0.0013195,              0.7165,             0.71165,             0.73225,             0.40923,            0.040059,            0.020474,           0.0018706,           0.0098743,           0.0098743,           0.0098743
                  82,            0.046204,           0.0048918,           0.0016359,             0.68279,             0.75525,             0.73487,             0.41196,            0.040065,            0.020459,           0.0018757,           0.0098712,           0.0098712,           0.0098712
                  83,            0.046651,           0.0046553,           0.0016918,             0.68559,             0.75338,             0.73396,             0.41041,            0.040057,            0.020437,           0.0018815,            0.009868,            0.009868,            0.009868
                  84,            0.045532,           0.0048232,           0.0016351,             0.70594,             0.73737,             0.73655,             0.41335,            0.040042,            0.020397,           0.0018802,           0.0098648,           0.0098648,           0.0098648
                  85,            0.046046,           0.0048046,           0.0013764,             0.70473,             0.74138,             0.73838,             0.41409,            0.039999,            0.020359,           0.0018824,           0.0098615,           0.0098615,           0.0098615
                  86,            0.045782,           0.0048169,           0.0014325,             0.70704,             0.73725,             0.74168,             0.41924,            0.039945,             0.02033,           0.0018783,           0.0098582,           0.0098582,           0.0098582
                  87,            0.045968,           0.0047749,           0.0014311,             0.71751,             0.73274,             0.74372,             0.42061,            0.039885,            0.020308,           0.0018882,           0.0098549,           0.0098549,           0.0098549
                  88,            0.045499,           0.0047531,           0.0013074,             0.72461,             0.72584,             0.74578,             0.42278,            0.039839,            0.020274,           0.0018971,           0.0098515,           0.0098515,           0.0098515
                  89,            0.045719,           0.0048182,           0.0015499,             0.72208,             0.72824,             0.74575,             0.42506,            0.039805,            0.020239,           0.0019014,           0.0098481,           0.0098481,           0.0098481
                  90,            0.046394,           0.0046501,           0.0014885,             0.72985,             0.72056,              0.7468,              0.4264,             0.03978,            0.020209,           0.0019028,           0.0098447,           0.0098447,           0.0098447
                  91,            0.045441,           0.0048088,           0.0014282,             0.72927,             0.72222,             0.74836,             0.42906,            0.039757,            0.020182,            0.001904,           0.0098412,           0.0098412,           0.0098412
                  92,            0.045641,           0.0049281,           0.0016857,             0.72888,             0.72376,             0.74984,              0.4313,            0.039743,            0.020176,           0.0019042,           0.0098376,           0.0098376,           0.0098376
                  93,            0.045388,           0.0047643,           0.0015034,             0.72178,             0.72909,              0.7499,             0.43052,            0.039716,            0.020169,            0.001906,           0.0098341,           0.0098341,           0.0098341
                  94,            0.046429,           0.0046882,           0.0015194,             0.73892,             0.71546,             0.75105,             0.43311,            0.039681,             0.02017,           0.0019055,           0.0098305,           0.0098305,           0.0098305
                  95,            0.046036,           0.0047112,           0.0011101,             0.73292,             0.72047,             0.75083,             0.43401,             0.03965,            0.020169,           0.0019099,           0.0098268,           0.0098268,           0.0098268
                  96,            0.046855,           0.0048121,           0.0016234,             0.73528,             0.71992,             0.75229,             0.43504,            0.039632,            0.020166,           0.0019165,           0.0098232,           0.0098232,           0.0098232
                  97,            0.045828,           0.0048073,           0.0016535,             0.72236,             0.73378,             0.75095,             0.43517,            0.039611,            0.020164,           0.0019222,           0.0098195,           0.0098195,           0.0098195
                  98,            0.047112,           0.0048961,           0.0020909,             0.73368,             0.72696,             0.75291,             0.43681,              0.0396,            0.020174,           0.0019317,           0.0098157,           0.0098157,           0.0098157
                  99,            0.044926,           0.0048457,           0.0011907,              0.7348,             0.72545,             0.75271,             0.43625,            0.039593,            0.020174,           0.0019358,           0.0098119,           0.0098119,           0.0098119
                 100,            0.046174,           0.0047946,           0.0016416,             0.73627,             0.72695,             0.75395,             0.43844,            0.039576,            0.020172,           0.0019375,           0.0098081,           0.0098081,           0.0098081
                 101,             0.04626,           0.0048973,           0.0014968,             0.71332,             0.75229,             0.75234,             0.43948,            0.039544,            0.020167,           0.0019383,           0.0098042,           0.0098042,           0.0098042
                 102,            0.045405,           0.0046807,           0.0014445,             0.73567,              0.7276,             0.75425,             0.44022,            0.039519,            0.020163,           0.0019389,           0.0098003,           0.0098003,           0.0098003
                 103,            0.045539,           0.0048123,           0.0017239,             0.74336,             0.72028,             0.75294,             0.44003,            0.039505,            0.020155,           0.0019397,           0.0097964,           0.0097964,           0.0097964
                 104,            0.045929,           0.0048129,           0.0014445,             0.71324,             0.75206,             0.75452,              0.4408,            0.039485,            0.020153,           0.0019425,           0.0097924,           0.0097924,           0.0097924
                 105,            0.046011,           0.0046834,           0.0011437,             0.74804,             0.72173,             0.75621,              0.4428,            0.039492,            0.020152,           0.0019439,           0.0097884,           0.0097884,           0.0097884
                 106,            0.045629,           0.0047253,           0.0015079,             0.75195,              0.7212,             0.75659,             0.44519,            0.039485,            0.020147,           0.0019436,           0.0097843,           0.0097843,           0.0097843
                 107,             0.04671,           0.0048283,           0.0015724,             0.71474,             0.75617,             0.75657,             0.44311,            0.039453,            0.020178,            0.001948,           0.0097803,           0.0097803,           0.0097803
                 108,            0.045788,           0.0048989,           0.0014453,             0.71195,             0.75628,             0.75677,             0.44234,            0.039427,            0.020189,           0.0019471,           0.0097761,           0.0097761,           0.0097761
                 109,            0.045719,           0.0048392,           0.0013827,              0.7335,             0.73456,             0.76016,               0.446,            0.039407,            0.020191,           0.0019457,            0.009772,            0.009772,            0.009772
                 110,            0.045041,           0.0047066,           0.0011717,             0.71758,             0.75416,             0.76019,             0.44575,            0.039386,            0.020184,            0.001943,           0.0097678,           0.0097678,           0.0097678
                 111,            0.044676,           0.0045951,           0.0011594,              0.7719,             0.70243,             0.76026,             0.44567,            0.039361,            0.020182,           0.0019407,           0.0097635,           0.0097635,           0.0097635
                 112,            0.045203,           0.0047957,           0.0013646,              0.7701,             0.70612,             0.76084,             0.44547,            0.039345,            0.020169,           0.0019378,           0.0097592,           0.0097592,           0.0097592
                 113,            0.044579,           0.0048445,           0.0014128,             0.71701,             0.75808,             0.76069,             0.44611,            0.039328,            0.020155,           0.0019369,           0.0097549,           0.0097549,           0.0097549
                 114,            0.046408,           0.0047922,           0.0014731,              0.7154,             0.76012,             0.76111,             0.44618,            0.039316,            0.020153,           0.0019353,           0.0097506,           0.0097506,           0.0097506
                 115,            0.045576,           0.0049145,           0.0015399,             0.71332,             0.76119,             0.75883,             0.44294,            0.039309,            0.020151,           0.0019347,           0.0097462,           0.0097462,           0.0097462
