               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  73,            0.044681,           0.0046729,           0.0016965,             0.69987,             0.74296,              0.7086,             0.37828,            0.038591,            0.019943,           0.0020181,           0.0098981,           0.0098981,           0.0098981
                  74,            0.044462,           0.0048949,           0.0014337,             0.70629,             0.73525,             0.71471,             0.38892,            0.038554,            0.019904,           0.0020191,           0.0098953,           0.0098953,           0.0098953
                  75,            0.043845,           0.0045372,           0.0010892,             0.71688,              0.7316,             0.71107,             0.38566,            0.038525,            0.019857,           0.0020103,           0.0098924,           0.0098924,           0.0098924
                  76,            0.043912,           0.0047402,           0.0011178,             0.70803,             0.73932,             0.71322,             0.38528,            0.038471,            0.019809,           0.0019909,           0.0098895,           0.0098895,           0.0098895
                  77,            0.043411,           0.0048107,           0.0013146,             0.71216,             0.73643,             0.71877,             0.38976,            0.038394,            0.019774,           0.0019888,           0.0098865,           0.0098865,           0.0098865
                  78,            0.043178,           0.0046789,           0.0014447,             0.70237,             0.75137,             0.71799,              0.3884,            0.038342,            0.019744,           0.0019889,           0.0098835,           0.0098835,           0.0098835
                  79,            0.044131,           0.0047389,           0.0011407,             0.70256,             0.74231,             0.71881,             0.39573,            0.038285,            0.019709,           0.0019879,           0.0098805,           0.0098805,           0.0098805
                  80,            0.043864,           0.0047761,           0.0014362,             0.68885,             0.75403,             0.71745,             0.39396,             0.03825,            0.019685,           0.0019768,           0.0098774,           0.0098774,           0.0098774
                  81,            0.044264,           0.0047446,           0.0016944,             0.68893,             0.75494,             0.71689,             0.39274,            0.038201,            0.019683,           0.0019731,           0.0098743,           0.0098743,           0.0098743
                  82,            0.043881,           0.0046552,           0.0014739,             0.70715,             0.73171,             0.71604,             0.39008,            0.038183,            0.019689,           0.0019754,           0.0098712,           0.0098712,           0.0098712
                  83,            0.043978,           0.0047639,           0.0012705,             0.69729,             0.74874,             0.71699,             0.38722,            0.038086,            0.019671,            0.001975,            0.009868,            0.009868,            0.009868
                  84,            0.044142,           0.0047205,           0.0013839,             0.70104,             0.74723,             0.72091,             0.39216,            0.038035,            0.019645,           0.0019745,           0.0098648,           0.0098648,           0.0098648
                  85,            0.043986,           0.0046844,           0.0017828,             0.72417,             0.72234,              0.7245,             0.39261,            0.038033,            0.019655,           0.0019793,           0.0098615,           0.0098615,           0.0098615
                  86,            0.044783,            0.004971,           0.0018793,             0.71637,             0.72974,             0.72033,             0.39061,            0.038003,            0.019671,           0.0019792,           0.0098582,           0.0098582,           0.0098582
                  87,            0.044425,           0.0048117,            0.001333,             0.71423,             0.72992,             0.71936,             0.39019,            0.037962,            0.019659,           0.0019806,           0.0098549,           0.0098549,           0.0098549
                  88,            0.043783,           0.0048062,           0.0013667,             0.71292,             0.72977,              0.7205,             0.39248,             0.03793,            0.019663,           0.0019894,           0.0098515,           0.0098515,           0.0098515
                  89,            0.043634,           0.0048469,           0.0016607,             0.72111,             0.71712,             0.72184,             0.39259,            0.037899,            0.019674,            0.001996,           0.0098481,           0.0098481,           0.0098481
                  90,            0.045107,           0.0048711,           0.0017722,              0.7065,             0.72939,             0.72143,             0.39098,            0.037896,            0.019691,           0.0019986,           0.0098447,           0.0098447,           0.0098447
                  91,            0.043738,           0.0047435,           0.0014825,             0.69428,             0.74325,             0.72259,             0.39131,             0.03787,            0.019681,           0.0019935,           0.0098412,           0.0098412,           0.0098412
                  92,            0.042913,             0.00474,           0.0016489,             0.68906,              0.7483,             0.72293,             0.39236,            0.037844,            0.019668,           0.0019962,           0.0098376,           0.0098376,           0.0098376
                  93,            0.043318,           0.0046773,           0.0013204,             0.69287,             0.74504,             0.72438,             0.39379,            0.037809,            0.019651,           0.0019948,           0.0098341,           0.0098341,           0.0098341
                  94,            0.045393,           0.0050253,           0.0016653,             0.67658,             0.77291,             0.72527,             0.39634,            0.037801,            0.019678,           0.0019971,           0.0098305,           0.0098305,           0.0098305
                  95,            0.045482,           0.0050351,           0.0022039,             0.70366,             0.73648,              0.7255,             0.39487,             0.03785,            0.019728,            0.001998,           0.0098268,           0.0098268,           0.0098268
                  96,            0.044979,           0.0048811,           0.0014723,             0.70036,             0.74056,             0.72531,             0.39438,            0.037874,            0.019757,           0.0019976,           0.0098232,           0.0098232,           0.0098232
                  97,            0.043286,           0.0046226,           0.0011733,             0.70392,             0.73463,             0.72454,             0.39347,            0.037895,            0.019769,           0.0019985,           0.0098195,           0.0098195,           0.0098195
                  98,            0.043062,           0.0045839,           0.0013859,             0.69926,             0.73911,             0.72422,             0.39442,            0.037885,            0.019773,           0.0020034,           0.0098157,           0.0098157,           0.0098157
                  99,            0.043224,           0.0046831,            0.001299,             0.70324,             0.73694,             0.72351,             0.39546,             0.03788,            0.019769,           0.0020077,           0.0098119,           0.0098119,           0.0098119
                 100,            0.042863,            0.004774,            0.001248,             0.70477,             0.73519,             0.72345,             0.39692,            0.037866,            0.019758,           0.0020111,           0.0098081,           0.0098081,           0.0098081
                 101,            0.043019,           0.0046039,           0.0016549,             0.69347,             0.74526,               0.723,             0.39743,            0.037855,            0.019742,           0.0020185,           0.0098042,           0.0098042,           0.0098042
                 102,            0.043097,           0.0046779,           0.0014533,             0.69571,             0.74462,             0.72481,             0.39837,            0.037839,            0.019728,           0.0020206,           0.0098003,           0.0098003,           0.0098003
                 103,            0.043563,           0.0047351,           0.0013775,             0.69045,             0.75056,              0.7268,             0.40004,             0.03782,            0.019711,             0.00202,           0.0097964,           0.0097964,           0.0097964
                 104,            0.041877,           0.0045594,           0.0013153,             0.69921,              0.7398,             0.73038,             0.40376,            0.037797,            0.019696,           0.0020176,           0.0097924,           0.0097924,           0.0097924
                 105,            0.042672,            0.004584,           0.0015309,              0.6909,              0.7461,              0.7296,             0.40517,             0.03778,            0.019682,           0.0020142,           0.0097884,           0.0097884,           0.0097884
                 106,            0.043132,           0.0047092,           0.0015384,             0.67926,             0.76323,             0.73013,             0.40573,             0.03776,            0.019666,           0.0020088,           0.0097843,           0.0097843,           0.0097843
                 107,            0.043048,           0.0046727,           0.0015695,             0.70459,              0.7321,             0.72967,             0.40641,            0.037737,            0.019643,            0.002001,           0.0097803,           0.0097803,           0.0097803
                 108,            0.042565,           0.0045491,           0.0014449,             0.70456,              0.7321,             0.72877,             0.40605,            0.037718,            0.019631,           0.0019953,           0.0097761,           0.0097761,           0.0097761
                 109,            0.042987,           0.0047821,           0.0013364,             0.70504,             0.73278,             0.72887,             0.40429,            0.037707,            0.019609,           0.0019924,            0.009772,            0.009772,            0.009772
                 110,            0.043706,           0.0046495,            0.001555,             0.73008,             0.70699,             0.72841,             0.40544,            0.037697,            0.019592,           0.0019884,           0.0097678,           0.0097678,           0.0097678
                 111,            0.044451,           0.0048266,           0.0011174,             0.70139,             0.73603,              0.7289,             0.40599,            0.037689,            0.019589,           0.0019875,           0.0097635,           0.0097635,           0.0097635
                 112,            0.043963,           0.0047249,            0.001619,             0.70428,             0.73607,             0.72929,             0.40494,            0.037673,            0.019579,           0.0019868,           0.0097592,           0.0097592,           0.0097592
                 113,            0.043262,           0.0048278,           0.0014499,             0.69629,             0.74237,              0.7315,             0.40582,            0.037661,            0.019569,           0.0019843,           0.0097549,           0.0097549,           0.0097549
