               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  62,            0.045302,           0.0047881,           0.0018062,             0.71536,              0.7637,             0.75975,             0.43804,            0.039567,             0.02021,           0.0018821,           0.0099268,           0.0099268,           0.0099268
                  63,            0.045612,             0.00487,           0.0014498,             0.71331,             0.77201,             0.75952,             0.44147,            0.039344,            0.020215,            0.001851,           0.0099244,           0.0099244,           0.0099244
                  64,            0.044805,           0.0048863,           0.0017644,              0.7521,             0.72064,             0.76153,             0.44469,            0.039261,            0.020211,            0.001867,           0.0099219,           0.0099219,           0.0099219
                  65,            0.044434,           0.0048137,           0.0012664,             0.76165,             0.71215,             0.76299,             0.44319,            0.039199,            0.020123,           0.0018437,           0.0099194,           0.0099194,           0.0099194
                  66,            0.044745,           0.0047352,           0.0016658,             0.74015,             0.72124,             0.75895,             0.44714,            0.039211,            0.020143,           0.0018452,           0.0099169,           0.0099169,           0.0099169
                  67,            0.045623,           0.0048154,           0.0012633,             0.76999,             0.69884,             0.75868,             0.45002,            0.039176,            0.020067,           0.0018362,           0.0099143,           0.0099143,           0.0099143
                  68,            0.044166,           0.0047528,           0.0010171,             0.75737,             0.70355,             0.75887,             0.44979,            0.039112,            0.019992,           0.0018357,           0.0099117,           0.0099117,           0.0099117
                  69,            0.044473,           0.0047267,           0.0015505,             0.76246,             0.72316,             0.76438,             0.44879,            0.039089,             0.01996,            0.001854,           0.0099091,           0.0099091,           0.0099091
                  70,            0.044318,           0.0048247,           0.0014208,             0.73161,             0.73658,             0.76159,             0.44254,            0.039039,            0.019924,           0.0018619,           0.0099064,           0.0099064,           0.0099064
                  71,            0.048319,           0.0052729,           0.0025145,             0.73248,             0.71636,             0.74974,             0.42521,            0.039062,            0.020386,           0.0019768,           0.0099037,           0.0099037,           0.0099037
                  72,            0.044942,           0.0049694,           0.0013567,             0.72238,             0.72304,             0.73864,             0.40885,            0.039107,            0.020538,           0.0020078,           0.0099009,           0.0099009,           0.0099009
                  73,            0.044349,            0.004762,           0.0014248,             0.71981,             0.71816,             0.73714,               0.409,            0.039048,             0.02052,           0.0020032,           0.0098981,           0.0098981,           0.0098981
                  74,            0.045066,           0.0049872,           0.0013857,             0.72024,             0.71709,             0.73471,             0.40219,            0.038945,            0.020508,           0.0019825,           0.0098953,           0.0098953,           0.0098953
                  75,            0.045053,           0.0049438,           0.0015854,             0.71553,             0.71497,             0.72796,             0.40122,            0.038865,            0.020479,           0.0019599,           0.0098924,           0.0098924,           0.0098924
                  76,            0.045212,           0.0047793,            0.001633,             0.70799,             0.72176,              0.7246,             0.39739,            0.038826,            0.020454,           0.0019329,           0.0098895,           0.0098895,           0.0098895
                  77,            0.044584,           0.0048418,           0.0013692,             0.71465,              0.7115,             0.73061,             0.40374,            0.038781,            0.020392,           0.0019164,           0.0098865,           0.0098865,           0.0098865
                  78,            0.044187,           0.0048974,           0.0014889,             0.71073,             0.71949,             0.73564,             0.40512,            0.038732,            0.020334,           0.0019029,           0.0098835,           0.0098835,           0.0098835
                  79,            0.044376,           0.0047435,           0.0015361,              0.7081,             0.72894,             0.73768,              0.4095,            0.038666,            0.020273,           0.0018814,           0.0098805,           0.0098805,           0.0098805
                  80,            0.044573,           0.0047384,           0.0017234,             0.71124,             0.72598,             0.73577,             0.40928,            0.038594,             0.02023,           0.0018748,           0.0098774,           0.0098774,           0.0098774
                  81,            0.047178,            0.005162,           0.0018604,             0.74078,             0.69945,             0.74249,             0.41314,            0.038547,            0.020298,           0.0018698,           0.0098743,           0.0098743,           0.0098743
                  82,            0.047817,           0.0051543,           0.0014714,             0.68369,             0.75264,              0.7429,             0.41706,            0.038578,            0.020675,           0.0019035,           0.0098712,           0.0098712,           0.0098712
                  83,            0.046752,           0.0050117,           0.0018995,             0.67902,             0.76504,             0.74347,             0.42151,            0.038656,            0.020874,           0.0019347,            0.009868,            0.009868,            0.009868
                  84,            0.045187,           0.0049925,           0.0014566,             0.69279,             0.75039,             0.74772,             0.42408,            0.038704,            0.020938,           0.0019526,           0.0098648,           0.0098648,           0.0098648
                  85,            0.046853,           0.0050674,           0.0017667,             0.69725,             0.74889,             0.75077,              0.4282,            0.038682,            0.021029,           0.0019732,           0.0098615,           0.0098615,           0.0098615
                  86,            0.044941,           0.0047187,             0.00133,             0.69489,             0.75161,             0.75268,             0.43128,            0.038686,            0.021061,             0.00197,           0.0098582,           0.0098582,           0.0098582
                  87,            0.043921,           0.0047874,           0.0013286,             0.75038,             0.70489,             0.75491,             0.43475,            0.038656,             0.02102,           0.0019657,           0.0098549,           0.0098549,           0.0098549
                  88,             0.04367,           0.0046005,           0.0011099,             0.75365,             0.70501,             0.75767,             0.43804,            0.038597,            0.020956,           0.0019579,           0.0098515,           0.0098515,           0.0098515
                  89,            0.044111,           0.0045701,           0.0012198,             0.73447,             0.72923,             0.75724,             0.43788,             0.03854,            0.020888,           0.0019538,           0.0098481,           0.0098481,           0.0098481
                  90,            0.043929,           0.0046435,           0.0014073,             0.73653,             0.72888,             0.75828,             0.44004,            0.038483,            0.020824,           0.0019505,           0.0098447,           0.0098447,           0.0098447
                  91,            0.044469,           0.0045105,           0.0014763,             0.72879,             0.73305,             0.75848,             0.44078,            0.038443,            0.020778,           0.0019529,           0.0098412,           0.0098412,           0.0098412
                  92,            0.044976,           0.0046518,           0.0012976,             0.73337,             0.73391,             0.76001,             0.44346,            0.038399,            0.020751,           0.0019571,           0.0098376,           0.0098376,           0.0098376
                  93,            0.042701,           0.0047557,           0.0013185,             0.72994,             0.73356,             0.75985,             0.44355,            0.038347,            0.020696,           0.0019502,           0.0098341,           0.0098341,           0.0098341
                  94,            0.044084,           0.0044414,           0.0013952,             0.73411,             0.73427,             0.76245,             0.44571,              0.0383,            0.020658,           0.0019512,           0.0098305,           0.0098305,           0.0098305
                  95,            0.043449,           0.0046162,           0.0010731,             0.73751,             0.73177,             0.76268,             0.44543,            0.038261,            0.020609,           0.0019462,           0.0098268,           0.0098268,           0.0098268
                  96,            0.044117,           0.0048535,           0.0012706,             0.74248,             0.73195,             0.76363,             0.44562,            0.038233,            0.020563,           0.0019408,           0.0098232,           0.0098232,           0.0098232
                  97,            0.044527,           0.0048746,           0.0015826,             0.74432,             0.73032,             0.76506,             0.44759,            0.038195,            0.020518,           0.0019405,           0.0098195,           0.0098195,           0.0098195
                  98,             0.04376,            0.004629,           0.0013429,             0.74821,              0.7318,             0.76639,             0.44847,            0.038166,            0.020477,           0.0019419,           0.0098157,           0.0098157,           0.0098157
                  99,            0.043464,           0.0047152,           0.0012962,              0.7438,               0.735,             0.76608,             0.44875,            0.038132,            0.020447,           0.0019394,           0.0098119,           0.0098119,           0.0098119
                 100,            0.043996,           0.0047873,           0.0013957,             0.74374,             0.73503,             0.76709,             0.45064,            0.038108,            0.020418,           0.0019361,           0.0098081,           0.0098081,           0.0098081
                 101,            0.044302,           0.0047994,           0.0013533,             0.74542,             0.73965,             0.76823,             0.45242,            0.038079,             0.02041,           0.0019384,           0.0098042,           0.0098042,           0.0098042
                 102,             0.04446,           0.0046751,           0.0014223,             0.74747,             0.73341,             0.76774,             0.45086,            0.038052,            0.020408,           0.0019396,           0.0098003,           0.0098003,           0.0098003
                 103,            0.042741,           0.0046094,           0.0014288,             0.74406,             0.73709,             0.76718,             0.45165,            0.038031,            0.020391,           0.0019436,           0.0097964,           0.0097964,           0.0097964
                 104,             0.04367,           0.0047875,            0.001394,             0.75315,             0.73413,             0.76821,             0.45292,               0.038,            0.020366,           0.0019472,           0.0097924,           0.0097924,           0.0097924
                 105,            0.043642,           0.0047781,            0.001476,              0.7625,              0.7262,             0.76858,             0.45291,            0.037976,            0.020347,           0.0019528,           0.0097884,           0.0097884,           0.0097884
                 106,            0.043187,           0.0046014,           0.0011227,             0.76691,              0.7259,             0.76962,             0.45479,            0.037946,            0.020321,           0.0019543,           0.0097843,           0.0097843,           0.0097843
                 107,            0.042865,           0.0047415,           0.0016744,             0.76349,             0.72722,             0.76942,             0.45335,            0.037913,            0.020304,           0.0019541,           0.0097803,           0.0097803,           0.0097803
                 108,            0.042861,           0.0044605,           0.0013692,              0.7694,             0.72947,              0.7711,             0.45653,            0.037882,            0.020286,           0.0019562,           0.0097761,           0.0097761,           0.0097761
                 109,             0.04259,           0.0046432,            0.001354,             0.77008,              0.7336,              0.7767,             0.45827,            0.037862,            0.020261,           0.0019561,            0.009772,            0.009772,            0.009772
                 110,            0.043134,           0.0045262,           0.0014327,              0.7663,              0.7307,             0.77189,             0.45845,            0.037842,            0.020235,           0.0019559,           0.0097678,           0.0097678,           0.0097678
                 111,            0.045337,           0.0048012,            0.001694,             0.76482,             0.73225,             0.77231,             0.45899,            0.037831,            0.020223,           0.0019581,           0.0097635,           0.0097635,           0.0097635
                 112,            0.044184,           0.0047507,           0.0012656,             0.76804,             0.72961,             0.77326,             0.45951,            0.037811,            0.020219,           0.0019605,           0.0097592,           0.0097592,           0.0097592
                 113,            0.043801,           0.0046395,           0.0013874,             0.76838,             0.72691,             0.77332,             0.45925,            0.037789,             0.02021,           0.0019616,           0.0097549,           0.0097549,           0.0097549
                 114,            0.043366,           0.0045157,           0.0013585,              0.7774,             0.72409,               0.773,             0.45998,            0.037771,            0.020199,           0.0019661,           0.0097506,           0.0097506,           0.0097506
                 115,            0.043062,           0.0047713,           0.0009864,             0.76891,             0.73145,             0.77155,             0.45847,            0.037758,            0.020191,           0.0019705,           0.0097462,           0.0097462,           0.0097462
                 116,            0.043242,           0.0046313,           0.0015001,              0.7845,             0.71683,             0.77116,             0.45809,            0.037753,            0.020191,           0.0019695,           0.0097418,           0.0097418,           0.0097418
                 117,            0.043688,           0.0046723,           0.0013369,              0.7846,             0.72658,             0.77618,             0.45844,            0.037745,            0.020184,           0.0019661,           0.0097373,           0.0097373,           0.0097373
                 118,             0.04341,           0.0047574,           0.0015705,             0.78787,             0.72584,             0.77672,             0.45931,            0.037726,            0.020171,           0.0019623,           0.0097328,           0.0097328,           0.0097328
                 119,             0.04323,           0.0046557,           0.0012359,             0.78471,             0.71858,             0.77303,             0.45883,            0.037709,            0.020154,           0.0019574,           0.0097283,           0.0097283,           0.0097283
